Venta_ID,Fecha,Pais,Ciudad,Canal_Venta,Categoria,Ventas,Costo,Utilidad,Margen_Utilidad,Segmento,Satisfaccion
104,2025-01-01,Chile,Bogota,App Movil,Tecnologia,4313798,2257231,2056567,0.48,Corporativo,1
105,2025-01-01,Mexico,Lima,App Movil,Hogar,3310821,2313526,997295,0.3,Premium,3
106,2025-01-01,Mexico,Santiago,Tienda Fisica,Hogar,1249279,768770,480509,0.38,Basico,1
107,2025-01-01,Peru,Cartagena,Ecommerce,Oficina,862708,409292,453416,0.53,Premium,5
108,2025-01-01,Colombia,Lima,Tienda Fisica,Tecnologia,4716188,3666771,1049417,0.22,Corporativo,3
109,2025-01-01,Mexico,Santiago,Ecommerce,Tecnologia,2381776,1501799,879977,0.37,Basico,5
110,2025-01-01,Peru,Bogota,Tienda Fisica,Oficina,1034444,785720,248724,0.24,Premium,5
111,2025-01-01,Chile,Lima,Tienda Fisica,Tecnologia,3923059,2710823,1212236,0.31,Basico,5
112,2025-01-01,Peru,Lima,Tienda Fisica,Tecnologia,147001,123641,23360,0.16,Basico,4
113,2025-01-01,Peru,Lima,Ecommerce,Oficina,4269637,2649563,1620074,0.38,Corporativo,1
114,2025-01-01,Mexico,Bogota,Tienda Fisica,Hogar,4375037,3708612,666425,0.15,Premium,4
115,2025-01-01,Chile,Santiago,Tienda Fisica,Hogar,3003862,2272725,731137,0.24,Corporativo,2
116,2025-01-01,Mexico,Santiago,Tienda Fisica,Hogar,3522101,1754836,1767265,0.5,Corporativo,2
117,2025-01-01,Mexico,Santiago,Ecommerce,Oficina,4969004,2655852,2313152,0.47,Corporativo,4
118,2025-01-01,Mexico,Cartagena,Tienda Fisica,Hogar,1405292,1148817,256475,0.18,Corporativo,4
119,2025-01-01,Peru,Lima,Ecommerce,Hogar,814819,640495,174324,0.21,Corporativo,2
120,2025-01-01,Chile,Lima,Tienda Fisica,Hogar,747446,522460,224986,0.3,Corporativo,5
121,2025-01-01,Colombia,Santiago,Ecommerce,Hogar,4644914,2953841,1691073,0.36,Basico,5
122,2025-01-01,Chile,Bogota,Ecommerce,Hogar,231861,127060,104801,0.45,Corporativo,4
123,2025-01-01,Chile,Santiago,Tienda Fisica,Hogar,758159,489154,269005,0.35,Basico,3
124,2025-01-01,Chile,Bogota,Ecommerce,Tecnologia,1989887,1238210,751677,0.38,Corporativo,1
125,2025-01-01,Chile,Cartagena,App Movil,Hogar,2609591,2184232,425359,0.16,Corporativo,4
126,2025-01-01,Colombia,Lima,Tienda Fisica,Oficina,450735,361919,88816,0.2,Basico,4
127,2025-01-01,Peru,Lima,Tienda Fisica,Hogar,1453590,881578,572012,0.39,Corporativo,1
128,2025-01-01,Chile,Santiago,Ecommerce,Oficina,814325,469505,344820,0.42,Premium,3
129,2025-01-01,Peru,Santiago,Tienda Fisica,Tecnologia,2298603,1713575,585028,0.25,Basico,2
130,2025-01-01,Mexico,Cartagena,Tienda Fisica,Tecnologia,4020407,2083620,1936787,0.48,Premium,5
131,2025-01-01,Mexico,Cartagena,Tienda Fisica,Hogar,1097655,594856,502799,0.46,Corporativo,4
132,2025-01-01,Colombia,Santiago,Tienda Fisica,Hogar,2107896,1247846,860050,0.41,Corporativo,5
133,2025-01-01,Mexico,Lima,Tienda Fisica,Tecnologia,594868,383839,211029,0.35,Corporativo,5
134,2025-01-01,Mexico,Cartagena,Ecommerce,Oficina,2677428,1799039,878389,0.33,Premium,2
135,2025-01-01,Colombia,Cartagena,Tienda Fisica,Tecnologia,2286638,1653452,633186,0.28,Corporativo,1
136,2025-01-01,Mexico,Bogota,Ecommerce,Tecnologia,4015899,2391171,1624728,0.4,Premium,1
137,2025-01-01,Colombia,Lima,Tienda Fisica,Tecnologia,3076815,1967840,1108975,0.36,Basico,2
138,2025-01-01,Mexico,Lima,Ecommerce,Hogar,3965101,2680090,1285011,0.32,Premium,1
139,2025-01-01,Mexico,Cartagena,Ecommerce,Oficina,2886926,1637973,1248953,0.43,Premium,4
140,2025-01-01,Mexico,Cartagena,Ecommerce,Oficina,4275387,3407739,867648,0.2,Basico,4
141,2025-01-01,Peru,Santiago,Ecommerce,Hogar,1612646,1337931,274715,0.17,Basico,5
142,2025-01-01,Chile,Santiago,Ecommerce,Hogar,2183864,1146927,1036937,0.47,Basico,4
143,2025-01-01,Colombia,Santiago,Ecommerce,Tecnologia,2391358,1470980,920378,0.38,Corporativo,2
144,2025-01-01,Colombia,Bogota,Ecommerce,Hogar,1722697,890861,831836,0.48,Basico,5
145,2025-01-01,Peru,Bogota,Tienda Fisica,Hogar,4595174,2784119,1811055,0.39,Basico,2
146,2025-01-01,Peru,Santiago,Tienda Fisica,Tecnologia,4931990,3013270,1918720,0.39,Basico,4
147,2025-01-01,Chile,Cartagena,Ecommerce,Tecnologia,1793965,1245101,548864,0.31,Basico,1
148,2025-01-01,Colombia,Bogota,Tienda Fisica,Tecnologia,2118509,971064,1147445,0.54,Corporativo,3
149,2025-01-01,Peru,Santiago,Tienda Fisica,Tecnologia,4309039,2223110,2085929,0.48,Premium,4
150,2025-01-01,Colombia,Cartagena,App Movil,Hogar,3664259,1906874,1757385,0.48,Premium,3
151,2025-01-01,Chile,Santiago,Ecommerce,Oficina,1856177,1554035,302142,0.16,Basico,3
152,2025-01-01,Chile,Santiago,Tienda Fisica,Tecnologia,1925138,1131359,793779,0.41,Premium,1
153,2025-01-01,Mexico,Cartagena,Ecommerce,Hogar,2329929,1247750,1082179,0.46,Corporativo,4
154,2025-01-01,Peru,Cartagena,Ecommerce,Oficina,3457616,2170851,1286765,0.37,Basico,4
155,2025-01-01,Chile,Lima,App Movil,Hogar,1168921,558322,610599,0.52,Basico,5
156,2025-01-01,Peru,Lima,Tienda Fisica,Tecnologia,2822305,2256174,566131,0.2,Basico,4
157,2025-01-01,Chile,Bogota,App Movil,Oficina,2234530,1403526,831004,0.37,Basico,1
158,2025-01-01,Peru,Cartagena,App Movil,Tecnologia,3515280,2388978,1126302,0.32,Corporativo,2
159,2025-01-01,Colombia,Santiago,App Movil,Oficina,4996769,4136452,860317,0.17,Basico,5
160,2025-01-01,Peru,Bogota,Tienda Fisica,Tecnologia,727896,494017,233879,0.32,Premium,3
161,2025-01-01,Peru,Santiago,Ecommerce,Tecnologia,354955,299882,55073,0.16,Corporativo,2
162,2025-01-01,Colombia,Santiago,Tienda Fisica,Tecnologia,3212371,1707815,1504556,0.47,Corporativo,1
163,2025-01-01,Chile,Cartagena,Ecommerce,Hogar,1091635,732883,358752,0.33,Basico,3
164,2025-01-01,Peru,Cartagena,App Movil,Tecnologia,1967448,1506993,460455,0.23,Premium,3
165,2025-01-01,Peru,Santiago,Tienda Fisica,Tecnologia,1391891,1148111,243780,0.18,Premium,5
166,2025-01-01,Mexico,Bogota,Ecommerce,Hogar,4820223,2412382,2407841,0.5,Corporativo,1
167,2025-01-01,Peru,Cartagena,Ecommerce,Hogar,437796,359526,78270,0.18,Premium,5
168,2025-01-01,Chile,Lima,Tienda Fisica,Tecnologia,2322484,1638184,684300,0.29,Corporativo,5
169,2025-01-01,Peru,Santiago,Tienda Fisica,Tecnologia,4718120,2559048,2159072,0.46,Basico,2
170,2025-01-01,Chile,Lima,Tienda Fisica,Hogar,3215497,2324315,891182,0.28,Premium,5
171,2025-01-01,Mexico,Santiago,Ecommerce,Tecnologia,3705540,2624434,1081106,0.29,Premium,3
172,2025-01-01,Colombia,Cartagena,Tienda Fisica,Oficina,677723,484679,193044,0.28,Premium,5
173,2025-01-01,Chile,Santiago,Tienda Fisica,Tecnologia,320164,162876,157288,0.49,Corporativo,3
174,2025-01-01,Mexico,Cartagena,Ecommerce,Oficina,620032,416619,203413,0.33,Basico,2
175,2025-01-01,Peru,Santiago,App Movil,Hogar,1319747,751006,568741,0.43,Corporativo,5
176,2025-01-01,Mexico,Bogota,Ecommerce,Hogar,2283432,1395964,887468,0.39,Basico,3
177,2025-01-01,Chile,Santiago,Tienda Fisica,Oficina,1466111,926280,539831,0.37,Premium,5
178,2025-01-01,Chile,Lima,App Movil,Oficina,4369357,2776675,1592682,0.36,Basico,4
179,2025-01-01,Colombia,Bogota,Ecommerce,Oficina,2474442,1136285,1338157,0.54,Basico,3
180,2025-01-01,Colombia,Lima,App Movil,Hogar,2827093,1548682,1278411,0.45,Basico,3
181,2025-01-01,Chile,Santiago,Tienda Fisica,Oficina,3910664,3098617,812047,0.21,Corporativo,2
182,2025-01-01,Peru,Cartagena,App Movil,Hogar,1739382,1423013,316369,0.18,Premium,4
183,2025-01-01,Colombia,Lima,Tienda Fisica,Oficina,2216236,1663640,552596,0.25,Premium,5
184,2025-01-01,Chile,Cartagena,Ecommerce,Hogar,4143093,2562705,1580388,0.38,Corporativo,5
185,2025-01-01,Peru,Santiago,App Movil,Tecnologia,640044,538814,101230,0.16,Corporativo,4
186,2025-01-01,Colombia,Bogota,Tienda Fisica,Oficina,3288826,1531200,1757626,0.53,Corporativo,5
187,2025-01-01,Colombia,Lima,Ecommerce,Tecnologia,2749831,2314830,435001,0.16,Basico,4
188,2025-01-01,Mexico,Cartagena,App Movil,Hogar,3737440,2860841,876599,0.23,Basico,4
189,2025-01-01,Mexico,Cartagena,Tienda Fisica,Hogar,2436753,1752993,683760,0.28,Premium,5
190,2025-01-01,Mexico,Cartagena,App Movil,Hogar,3176451,1869307,1307144,0.41,Premium,5
191,2025-01-01,Chile,Santiago,Ecommerce,Oficina,2326796,1688464,638332,0.27,Corporativo,4
192,2025-01-01,Mexico,Santiago,Ecommerce,Tecnologia,107763,63821,43942,0.41,Premium,2
193,2025-01-01,Chile,Santiago,Tienda Fisica,Hogar,4450299,2899148,1551151,0.35,Basico,4
194,2025-01-01,Peru,Bogota,Ecommerce,Tecnologia,4484543,2744688,1739855,0.39,Premium,2
195,2025-01-01,Chile,Lima,Tienda Fisica,Oficina,1741801,1324142,417659,0.24,Premium,1
196,2025-01-01,Mexico,Lima,Ecommerce,Hogar,3497391,2948807,548584,0.16,Corporativo,4
197,2025-01-01,Chile,Bogota,Tienda Fisica,Hogar,1628598,1340841,287757,0.18,Premium,3
198,2025-01-01,Chile,Bogota,App Movil,Tecnologia,164990,121643,43347,0.26,Premium,1
199,2025-01-01,Colombia,Lima,App Movil,Oficina,617289,473732,143557,0.23,Premium,5
200,2025-01-01,Chile,Lima,Tienda Fisica,Oficina,226186,184356,41830,0.18,Premium,5
201,2025-01-01,Mexico,Santiago,Ecommerce,Tecnologia,4165303,2400698,1764605,0.42,Corporativo,5
202,2025-01-01,Peru,Cartagena,Ecommerce,Hogar,2040933,1269607,771326,0.38,Corporativo,2
203,2025-01-01,Colombia,Cartagena,Ecommerce,Tecnologia,2539060,1774062,764998,0.3,Corporativo,4
204,2025-01-01,Mexico,Bogota,Ecommerce,Hogar,2251751,1173479,1078272,0.48,Corporativo,4
205,2025-01-01,Colombia,Cartagena,Tienda Fisica,Hogar,1591110,1145172,445938,0.28,Basico,3
206,2025-01-01,Chile,Santiago,App Movil,Oficina,1686126,1172740,513386,0.3,Basico,3
207,2025-01-01,Mexico,Bogota,Ecommerce,Oficina,2574603,1273006,1301597,0.51,Basico,5
208,2025-01-01,Chile,Bogota,Ecommerce,Hogar,3688498,2404213,1284285,0.35,Corporativo,1
209,2025-01-01,Peru,Lima,App Movil,Hogar,310523,145799,164724,0.53,Premium,4
210,2025-01-01,Mexico,Santiago,Tienda Fisica,Tecnologia,909477,746511,162966,0.18,Premium,1
211,2025-01-01,Colombia,Santiago,App Movil,Oficina,1328159,655713,672446,0.51,Basico,3
212,2025-01-01,Mexico,Santiago,Ecommerce,Hogar,4499122,3251879,1247243,0.28,Premium,4
213,2025-01-01,Peru,Bogota,Tienda Fisica,Oficina,4758553,2358934,2399619,0.5,Corporativo,4
214,2025-01-01,Colombia,Bogota,Tienda Fisica,Tecnologia,4777338,3198517,1578821,0.33,Basico,4
215,2025-01-01,Chile,Lima,App Movil,Oficina,1703115,1219290,483825,0.28,Corporativo,2
216,2025-01-01,Chile,Bogota,Ecommerce,Hogar,2121267,1060627,1060640,0.5,Premium,2
217,2025-01-01,Peru,Cartagena,Ecommerce,Tecnologia,3573578,2847774,725804,0.2,Premium,2
218,2025-01-01,Colombia,Santiago,Ecommerce,Hogar,2496875,1655259,841616,0.34,Premium,4
219,2025-01-01,Peru,Bogota,Ecommerce,Tecnologia,4721940,3678616,1043324,0.22,Basico,2
220,2025-01-01,Colombia,Bogota,App Movil,Oficina,3588666,1671899,1916767,0.53,Basico,2
221,2025-01-01,Chile,Cartagena,Ecommerce,Hogar,4783446,2702651,2080795,0.43,Premium,3
222,2025-01-01,Colombia,Cartagena,App Movil,Oficina,1548733,1044137,504596,0.33,Basico,4
223,2025-01-01,Colombia,Lima,Tienda Fisica,Hogar,177972,90252,87720,0.49,Premium,2
224,2025-01-01,Chile,Lima,App Movil,Oficina,4036856,2654690,1382166,0.34,Premium,1
225,2025-01-01,Mexico,Cartagena,Ecommerce,Tecnologia,2075714,1180639,895075,0.43,Basico,5
226,2025-01-01,Chile,Cartagena,Ecommerce,Oficina,4277549,2726040,1551509,0.36,Corporativo,3
227,2025-01-01,Chile,Santiago,Tienda Fisica,Tecnologia,1255905,769636,486269,0.39,Basico,1
228,2025-01-01,Mexico,Bogota,App Movil,Oficina,3021469,1497505,1523964,0.5,Corporativo,1
229,2025-01-01,Chile,Lima,Tienda Fisica,Hogar,3926017,2236803,1689214,0.43,Premium,1
230,2025-01-01,Peru,Lima,Tienda Fisica,Oficina,3600985,2965991,634994,0.18,Basico,1
231,2025-01-01,Colombia,Lima,Tienda Fisica,Tecnologia,4082577,3445373,637204,0.16,Premium,2
232,2025-01-01,Mexico,Santiago,Tienda Fisica,Oficina,793349,659943,133406,0.17,Corporativo,1
233,2025-01-01,Peru,Lima,Ecommerce,Oficina,939628,530188,409440,0.44,Corporativo,2
234,2025-01-01,Colombia,Bogota,Tienda Fisica,Hogar,202597,165267,37330,0.18,Corporativo,2
235,2025-01-01,Colombia,Bogota,App Movil,Tecnologia,4952194,3783147,1169047,0.24,Corporativo,5
236,2025-01-01,Peru,Cartagena,App Movil,Oficina,1198878,837776,361102,0.3,Corporativo,3
237,2025-01-01,Colombia,Santiago,Ecommerce,Oficina,2268564,1433874,834690,0.37,Basico,3
238,2025-01-01,Colombia,Santiago,Ecommerce,Hogar,3828659,3038806,789853,0.21,Premium,2
239,2025-01-01,Chile,Bogota,Tienda Fisica,Oficina,4344342,3620214,724128,0.17,Premium,3
240,2025-01-01,Peru,Lima,Tienda Fisica,Oficina,4744138,3839768,904370,0.19,Premium,3
241,2025-01-01,Peru,Lima,Tienda Fisica,Hogar,356256,214879,141377,0.4,Corporativo,5
242,2025-01-01,Peru,Bogota,App Movil,Oficina,743088,550055,193033,0.26,Basico,5
243,2025-01-01,Peru,Cartagena,Ecommerce,Oficina,4634470,2987624,1646846,0.36,Corporativo,2
244,2025-01-01,Chile,Santiago,App Movil,Hogar,3072260,1702056,1370204,0.45,Corporativo,3
245,2025-01-01,Mexico,Lima,Ecommerce,Tecnologia,3780988,2329119,1451869,0.38,Basico,1
246,2025-01-01,Mexico,Bogota,App Movil,Oficina,4579135,2200501,2378634,0.52,Basico,3
247,2025-01-01,Chile,Santiago,App Movil,Hogar,1597621,1258935,338686,0.21,Premium,5
248,2025-01-01,Peru,Santiago,Ecommerce,Tecnologia,978160,467389,510771,0.52,Basico,1
249,2025-01-01,Colombia,Lima,Ecommerce,Oficina,3016195,2001291,1014904,0.34,Premium,4
250,2025-01-01,Chile,Bogota,Tienda Fisica,Hogar,662272,380918,281354,0.42,Corporativo,1
251,2025-01-01,Mexico,Santiago,App Movil,Tecnologia,786054,455796,330258,0.42,Corporativo,3
252,2025-01-01,Peru,Cartagena,App Movil,Oficina,1186141,708804,477337,0.4,Corporativo,3
253,2025-01-01,Mexico,Bogota,App Movil,Oficina,2376546,1643642,732904,0.31,Corporativo,3
254,2025-01-01,Chile,Santiago,Ecommerce,Hogar,3456725,2568163,888562,0.26,Corporativo,2
255,2025-01-01,Colombia,Bogota,Ecommerce,Hogar,3042733,1539369,1503364,0.49,Premium,2
256,2025-01-01,Colombia,Lima,App Movil,Tecnologia,3206647,2217546,989101,0.31,Basico,2
257,2025-01-01,Colombia,Santiago,Ecommerce,Oficina,2785944,1916342,869602,0.31,Basico,1
258,2025-01-01,Colombia,Bogota,App Movil,Hogar,2467554,1131145,1336409,0.54,Basico,2
259,2025-01-01,Chile,Bogota,App Movil,Hogar,3027679,2313800,713879,0.24,Corporativo,5
260,2025-01-01,Peru,Lima,Ecommerce,Oficina,4761298,3052846,1708452,0.36,Corporativo,1
261,2025-01-01,Chile,Bogota,Tienda Fisica,Hogar,608447,413893,194554,0.32,Basico,2
